Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
600;7314;7070;7281.9;7314
610;7314;7214;7307.333333333333;7314
620;7323;7105;7303.433333333333;7317
630;7323;7112;7315.966666666666;7323
640;7324;7138;7313.9;7324
650;7380;7089;7348.666666666667;7380
660;7387;7160;7376.433333333333;7387
670;7433;7322;7420.8;7433
680;7444;7354;7435.866666666667;7444
690;7444;7258;7425.466666666666;7444
700;7446;7376;7443.133333333333;7446
710;7446;7399;7443.633333333333;7446
720;7446;7432;7445.533333333334;7446
730;7447;7374;7440.966666666666;7447
740;7453;7366;7436.1;7447
750;7478;7397;7459.0;7465
760;7482;7230;7456.233333333334;7482
770;7482;7359;7470.866666666667;7482
780;7486;7124;7409.933333333333;7486
790;7493;7410;7483.933333333333;7493
800;7497;7457;7492.6;7496
810;7498;7085;7475.666666666667;7498
820;7503;7357;7496.433333333333;7503
830;7503;7381;7496.833333333333;7503
840;7504;7194;7479.933333333333;7504
850;7552;7494;7509.933333333333;7509
860;7556;7434;7548.033333333334;7556
870;7556;7511;7550.733333333334;7556
880;7559;7505;7550.2;7559
890;7559;7435;7543.966666666666;7559
900;7576;7352;7551.133333333333;7576
910;7576;7494;7567.633333333333;7576
920;7576;7247;7552.8;7576
930;7576;7465;7555.533333333334;7576
